,score
1,-3.0
21,-4.0
53,-1.0
61,-3.0
111,-2.0
116,-4.0
119,-1.0
121,-1.0
123,-1.0
162,-4.0
169,-1.0
171,-5.0
212,-2.0
213,-2.0
237,-1.0
264,-3.0
265,-4.0
309,-4.0
328,-2.0
331,-4.0
352,-1.0
361,-2.0
409,-6.0
481,-2.0
504,-2.0
510,-2.0
523,-6.0
530,-2.0
532,-2.0
533,-2.0
562,-4.0
563,-5.0
566,-5.0
578,-5.0
589,-1.0
619,-7.0
625,-5.0
639,-1.0
670,-3.0
690,-1.0
708,-1.0
711,-3.0
715,-2.0
722,-6.0
741,-2.0
755,-1.0
789,-2.0
808,-2.0
826,-2.0
877,-1.0
892,-1.0
904,-1.0
945,-2.0
954,-5.0
955,-2.0
967,-8.0
980,-2.0
1016,-2.0
1021,-1.0
1026,-2.0
1030,-1.0
1044,-2.0
1052,-5.0
1058,-2.0
1059,-6.0
1071,-3.0
1129,-1.0
1172,-2.0
1175,-1.0
1182,-4.0
1195,-6.0
1196,-3.0
1204,-2.0
1205,-3.0
1206,-1.0
1222,-2.0
1228,-1.0
1233,-4.0
1234,-1.0
1237,-6.0
1240,-3.0
1241,-2.0
1244,-1.0
1248,-3.0
1255,-2.0
1262,-2.0
1263,-1.0
1266,-1.0
1322,-6.0
1324,-2.0
1327,-2.0
1332,-2.0
1333,-1.0
1338,-3.0
1344,-5.0
1360,-3.0
1367,-4.0
1375,-2.0
1377,-3.0
1378,-1.0
1406,-3.0
1420,-2.0
1424,-2.0
1435,-1.0
1437,-2.0
1447,-1.0
1451,-4.0
1453,-1.0
1454,-2.0
1457,-4.0
1461,-2.0
1467,-2.0
1476,-3.0
1482,-4.0
1486,-5.0
1492,-1.0
1509,-1.0
1522,-7.0
1525,-4.0
1548,-2.0
1557,-2.0
1565,-2.0
1577,-1.0
1578,-4.0
1579,-2.0
1586,-2.0
1590,-2.0
1594,-1.0
1599,-2.0
1603,-3.0
1609,-2.0
1622,-8.0
1627,-3.0
1630,-1.0
1653,-2.0
1664,-1.0
1665,-1.0
1687,-3.0
1688,-2.0
1707,-2.0
1708,-3.0
1778,-1.0
1786,-1.0
1789,-2.0
1808,-8.0
1813,-1.0
1816,-2.0
1825,-1.0
1832,-3.0
1833,-1.0
1838,-2.0
1851,-5.0
1852,-2.0
1865,-4.0
1868,-4.0
1877,-2.0
1889,-5.0
1891,-3.0
1902,-2.0
1909,-5.0
1912,-2.0
1932,-1.0
1938,-2.0
1941,-1.0
1994,-2.0
2015,-1.0
2045,-1.0
2059,-1.0
2062,-4.0
2066,-2.0
2070,-3.0
2073,-2.0
2075,-2.0
2080,-2.0
2129,-5.0
2142,-3.0
2149,-1.0
2167,-1.0
2173,-1.0
2176,-2.0
2182,-4.0
2193,-2.0
2216,-3.0
2246,-4.0
2250,-6.0
2261,-1.0
2275,-2.0
2290,-2.0
2325,-4.0
2353,-2.0
2354,-4.0
2377,-1.0
2402,-2.0
2403,-2.0
2422,-1.0
2459,-1.0
2623,-2.0
2632,-2.0
2636,-1.0
2694,-3.0
2696,-1.0
2700,-3.0
2730,-3.0
2737,-2.0
2744,-2.0
2745,-2.0
2753,-1.0
2772,-1.0
2864,-1.0
2868,-1.0
2873,-1.0
2889,-4.0
2892,-4.0
2897,-4.0
2902,-5.0
2921,-1.0
2935,-3.0
2977,-1.0
3019,-1.0
3026,-3.0
3037,-4.0
3050,-6.0
3064,-1.0
3119,-3.0
3141,-4.0
3180,-1.0
3187,-2.0
3197,-5.0
3260,-1.0
3315,-3.0
3375,-1.0
3521,-2.0
3528,-6.0
3531,-2.0
3541,-2.0
3543,-2.0
3549,-3.0
3569,-2.0
3606,-6.0
3634,-3.0
3642,-1.0
3657,-6.0
3666,-3.0
3667,-3.0
3675,-2.0
3687,-3.0
3702,-1.0
3727,-6.0
3761,-4.0
3813,-4.0
3851,-4.0
