,score
38,-6.0
39,-6.0
40,-8.0
41,-6.0
42,-6.0
48,-6.0
49,-6.0
51,-6.0
52,-3.0
56,-1.0
57,-6.0
64,-6.0
71,-8.0
76,-4.0
97,-6.0
132,-6.0
133,-6.0
134,-6.0
135,-9.0
136,-6.0
137,-3.0
138,-6.0
139,-6.0
140,-6.0
141,-8.0
142,-10.0
143,-9.0
144,-4.0
145,-6.0
146,-6.0
147,-6.0
148,-5.0
149,-6.0
153,-6.0
154,-6.0
160,-6.0
166,-6.0
170,-6.0
194,-6.0
196,-6.0
197,-6.0
222,-6.0
251,-1.0
278,-6.0
279,-6.0
326,-1.0
327,-6.0
330,-6.0
431,-6.0
459,-5.0
466,-6.0
529,-3.0
545,-2.0
740,-6.0
800,-4.0
809,-1.0
835,-6.0
844,-3.0
905,-6.0
922,-6.0
929,-3.0
932,-6.0
1080,-1.0
1087,-2.0
1152,-2.0
1154,-1.0
1156,-2.0
1157,-2.0
1163,-2.0
1176,-1.0
1299,-1.0
1366,-9.0
1405,-6.0
1444,-2.0
1470,-1.0
1484,-6.0
1524,-2.0
1563,-4.0
1581,-3.0
1873,-2.0
1947,-3.0
2111,-5.0
2253,-3.0
2269,-6.0
2286,-1.0
2461,-1.0
2520,-2.0
2672,-2.0
2711,-6.0
2835,-1.0
2961,-1.0
2985,-3.0
3074,-1.0
3142,-2.0
3292,-2.0
3350,-2.0
3351,-2.0
3358,-2.0
3486,-2.0
3494,-1.0
3544,-6.0
3703,-1.0
4136,-1.0
4168,-2.0
4435,-6.0
4444,-2.0
4608,-6.0
4622,-3.0
4866,-6.0
4899,-1.0
4964,-4.0
5068,-1.0
5158,-4.0
5166,-2.0
5221,-2.0
5287,-2.0
5332,-8.0
5544,-1.0
5596,-7.0
5673,-2.0
5691,-1.0
5794,-2.0
5824,-1.0
5877,-4.0
5967,-4.0
6301,-2.0
6364,-4.0
6387,-2.0
6437,-6.0
6705,-2.0
7128,-1.0
7137,-2.0
7309,-6.0
7479,-1.0
7623,-3.0
7761,-2.0
7771,-1.0
7835,-2.0
7908,-3.0
7932,-2.0
8081,-1.0
8082,-1.0
8112,-1.0
8152,-3.0
8203,-2.0
8217,-4.0
8250,-2.0
8303,-2.0
8330,-3.0
8522,-1.0
8578,-1.0
8638,-1.0
8694,-2.0
8705,-6.0
8724,-2.0
8726,-1.0
8727,-4.0
8737,-1.0
8842,-2.0
8994,-5.0
9057,-1.0
9073,-2.0
9104,-6.0
9154,-3.0
9237,-6.0
9307,-4.0
9472,-2.0
9543,-2.0
9619,-6.0
9653,-1.0
9751,-2.0
9765,-1.0
9783,-2.0
9929,-1.0
9959,-1.0
9960,-2.0
10075,-2.0
10095,-2.0
10099,-1.0
10241,-6.0
10250,-2.0
10268,-2.0
10269,-2.0
10271,-1.0
10384,-2.0
10396,-3.0
10398,-3.0
10512,-3.0
10513,-2.0
10617,-1.0
10673,-3.0
10850,-6.0
10873,-1.0
10943,-3.0
11139,-1.0
11238,-1.0
11240,-2.0
11308,-2.0
11392,-8.0
11490,-2.0
11814,-6.0
12029,-5.0
12079,-3.0
12321,-2.0
12355,-3.0
12372,-2.0
12397,-4.0
12455,-2.0
12463,-1.0
12620,-4.0
12631,-7.0
12649,-2.0
12697,-3.0
12766,-1.0
12980,-7.0
13239,-1.0
13279,-6.0
13451,-1.0
13474,-1.0
13585,-3.0
13620,-6.0
13628,-1.0
13815,-2.0
13861,-1.0
13945,-3.0
13956,-2.0
14263,-2.0
14463,-6.0
14578,-1.0
14624,-8.0
14704,-3.0
14831,-1.0
15260,-3.0
15417,-4.0
15634,-6.0
15673,-1.0
15767,-1.0
15779,-4.0
15786,-4.0
15821,-2.0
15825,-6.0
15870,-2.0
16016,-2.0
16020,-2.0
16065,-1.0
16282,-2.0
16449,-1.0
16457,-2.0
16476,-1.0
16484,-2.0
16572,-2.0
16596,-6.0
16602,-1.0
16610,-1.0
16641,-3.0
16644,-4.0
16735,-1.0
17092,-6.0
17117,-1.0
17167,-2.0
17223,-1.0
17228,-1.0
17234,-2.0
17325,-1.0
17407,-6.0
17419,-1.0
17795,-1.0
17846,-6.0
17972,-1.0
18114,-6.0
18233,-1.0
18266,-2.0
18269,-3.0
18319,-3.0
18443,-3.0
18615,-1.0
18778,-3.0
18857,-1.0
18923,-2.0
19089,-2.0
19132,-3.0
19170,-2.0
19182,-2.0
19188,-6.0
19197,-4.0
19208,-2.0
19255,-4.0
19263,-1.0
19348,-2.0
19380,-2.0
19406,-1.0
19421,-2.0
19486,-1.0
19550,-2.0
19564,-3.0
19614,-3.0
19635,-5.0
19654,-2.0
19706,-2.0
19736,-4.0
19960,-2.0
20092,-1.0
20104,-1.0
20111,-1.0
20155,-3.0
20369,-1.0
20384,-6.0
20405,-1.0
20642,-1.0
20645,-2.0
20799,-2.0
20934,-2.0
20987,-2.0
21116,-3.0
21244,-3.0
21295,-2.0
21321,-4.0
21386,-1.0
21406,-4.0
21431,-1.0
21433,-1.0
21435,-2.0
21451,-2.0
21475,-6.0
21494,-2.0
21508,-3.0
21521,-6.0
21544,-3.0
21547,-3.0
21633,-1.0
21663,-1.0
21710,-2.0
21734,-1.0
21788,-3.0
21801,-2.0
21808,-3.0
21811,-3.0
21868,-1.0
21869,-3.0
21921,-2.0
21933,-2.0
21953,-2.0
21960,-3.0
21976,-3.0
21982,-4.0
21998,-2.0
22007,-1.0
22012,-3.0
22015,-2.0
22039,-3.0
22123,-2.0
22128,-4.0
22131,-5.0
22218,-1.0
22468,-2.0
22591,-4.0
22680,-1.0
22908,-1.0
22994,-3.0
23138,-1.0
23227,-2.0
23259,-2.0
23372,-1.0
23391,-2.0
23392,-6.0
23467,-1.0
23530,-5.0
23568,-2.0
23575,-1.0
23732,-2.0
23733,-2.0
23756,-4.0
23760,-3.0
23822,-1.0
24027,-1.0
24075,-2.0
24121,-4.0
24140,-2.0
24172,-1.0
24275,-5.0
24344,-4.0
24528,-2.0
24570,-6.0
24611,-4.0
24663,-1.0
24686,-3.0
24699,-1.0
24774,-2.0
24944,-1.0
24972,-2.0
25080,-1.0
25381,-2.0
25499,-2.0
25565,-3.0
25568,-3.0
25656,-1.0
25700,-1.0
25803,-2.0
26032,-6.0
26047,-1.0
26049,-3.0
26075,-2.0
26257,-2.0
26282,-3.0
26283,-3.0
26284,-3.0
26285,-3.0
26286,-3.0
26310,-2.0
26396,-2.0
26640,-1.0
26698,-1.0
26794,-2.0
26822,-2.0
26847,-1.0
26969,-6.0
27061,-1.0
27136,-1.0
27245,-2.0
27340,-2.0
27395,-1.0
27415,-1.0
27498,-6.0
27624,-3.0
27634,-4.0
27748,-1.0
27768,-3.0
27826,-1.0
27918,-2.0
27979,-1.0
28008,-2.0
28153,-2.0
28334,-2.0
28447,-6.0
28465,-3.0
28475,-1.0
28553,-1.0
28563,-1.0
28567,-1.0
28569,-3.0
28637,-1.0
28639,-2.0
28641,-1.0
28749,-6.0
28875,-2.0
28881,-2.0
28913,-3.0
28921,-5.0
29029,-7.0
29041,-2.0
29075,-6.0
29193,-6.0
29219,-1.0
29220,-1.0
29236,-1.0
29283,-1.0
29285,-1.0
29368,-3.0
29458,-2.0
29513,-2.0
29517,-2.0
29539,-1.0
29555,-4.0
29684,-2.0
29775,-3.0
29803,-1.0
29809,-3.0
29851,-1.0
29855,-1.0
30154,-1.0
30316,-1.0
30503,-1.0
30518,-1.0
30733,-1.0
30851,-1.0
30974,-3.0
30986,-1.0
31015,-1.0
31038,-1.0
31088,-4.0
31105,-2.0
31107,-1.0
31114,-1.0
31116,-6.0
31151,-1.0
31167,-2.0
31190,-5.0
31238,-2.0
31308,-6.0
31310,-1.0
31318,-1.0
31333,-1.0
31520,-1.0
31521,-1.0
31693,-2.0
31719,-6.0
31731,-1.0
31760,-1.0
31814,-4.0
31816,-1.0
31863,-2.0
31878,-2.0
31882,-2.0
31948,-14.0
31958,-1.0
31988,-7.0
32088,-6.0
32166,-2.0
32208,-1.0
32288,-1.0
32417,-6.0
32487,-3.0
32528,-1.0
32763,-4.0
32897,-6.0
32912,-1.0
33044,-1.0
33250,-1.0
33259,-4.0
33280,-2.0
33325,-3.0
33328,-2.0
33341,-1.0
33374,-1.0
33405,-1.0
33546,-6.0
33571,-1.0
33760,-1.0
33769,-2.0
34208,-6.0
34210,-3.0
34282,-2.0
34301,-4.0
34476,-1.0
34637,-2.0
34707,-1.0
34737,-1.0
34754,-1.0
35025,-2.0
35047,-2.0
35058,-4.0
35075,-3.0
35095,-3.0
35096,-3.0
35099,-1.0
35185,-2.0
35197,-2.0
35294,-2.0
35534,-3.0
35725,-6.0
35886,-4.0
36039,-1.0
36286,-4.0
36473,-3.0
36686,-6.0
36734,-1.0
36927,-4.0
36938,-1.0
37116,-1.0
37149,-2.0
37218,-3.0
37262,-1.0
37290,-2.0
37291,-1.0
37309,-2.0
37356,-1.0
37358,-1.0
37389,-2.0
37401,-2.0
37405,-3.0
37410,-1.0
37413,-1.0
37414,-2.0
37423,-2.0
37427,-2.0
37428,-3.0
37435,-2.0
37440,-1.0
37450,-1.0
37461,-7.0
37466,-2.0
37467,-7.0
37471,-4.0
37474,-5.0
37476,-2.0
37498,-2.0
37515,-4.0
37536,-1.0
37538,-1.0
37542,-5.0
37585,-1.0
37613,-2.0
37623,-2.0
37659,-4.0
37673,-1.0
37687,-1.0
37702,-1.0
37738,-2.0
37757,-4.0
37818,-1.0
37865,-4.0
37880,-2.0
37883,-2.0
37942,-3.0
38006,-1.0
38147,-1.0
38311,-1.0
38325,-1.0
38329,-1.0
38491,-1.0
38503,-2.0
38512,-3.0
38548,-1.0
38586,-6.0
38591,-3.0
38593,-2.0
38604,-1.0
38618,-1.0
38674,-2.0
38684,-2.0
38688,-1.0
38797,-2.0
38864,-2.0
38895,-3.0
38898,-3.0
38968,-1.0
38979,-2.0
38987,-1.0
39026,-1.0
39034,-1.0
39208,-2.0
39261,-2.0
39314,-6.0
39395,-1.0
39489,-4.0
39508,-1.0
39597,-2.0
39689,-1.0
39818,-4.0
39871,-4.0
39879,-3.0
39956,-1.0
39976,-3.0
39996,-5.0
40053,-1.0
40069,-5.0
40121,-1.0
40242,-1.0
40259,-1.0
40293,-2.0
40331,-3.0
40342,-2.0
