,score
27,2.0
45,1.0
109,1.0
128,1.0
159,2.0
167,5.0
177,1.0
255,2.0
275,3.0
276,3.0
295,2.0
297,4.0
320,1.0
364,2.0
406,1.0
421,5.0
424,1.0
436,6.0
449,3.0
452,1.0
458,1.0
478,2.0
488,2.0
493,2.0
502,1.0
509,2.0
514,1.0
542,2.0
627,2.0
630,6.0
685,2.0
695,6.0
699,1.0
707,2.0
719,3.0
754,5.0
769,1.0
799,3.0
850,2.0
861,2.0
907,5.0
912,1.0
937,6.0
941,1.0
957,2.0
958,3.0
959,3.0
986,2.0
1001,3.0
1005,1.0
1025,3.0
1034,5.0
1055,2.0
1063,2.0
1088,2.0
1095,1.0
1118,3.0
1123,1.0
1147,1.0
1149,2.0
1159,2.0
1271,3.0
1490,4.0
1544,1.0
1605,1.0
1706,1.0
1716,2.0
1722,4.0
1728,1.0
1750,1.0
1758,2.0
1763,2.0
1807,2.0
1883,1.0
1930,2.0
2008,4.0
2021,2.0
2028,2.0
2040,5.0
2048,2.0
2050,1.0
2098,2.0
2100,1.0
2104,4.0
2150,2.0
2160,2.0
2218,1.0
2219,1.0
2235,4.0
2240,1.0
2245,2.0
2316,2.0
2346,2.0
2366,1.0
2384,1.0
2385,3.0
2427,2.0
2440,2.0
2447,1.0
2451,2.0
2474,2.0
2575,2.0
2585,2.0
2601,2.0
2634,9.0
2647,1.0
2850,2.0
2872,5.0
2884,1.0
2924,2.0
2925,3.0
2962,2.0
2976,1.0
3032,2.0
3137,2.0
3174,2.0
3206,2.0
3215,1.0
3264,1.0
3269,3.0
3283,1.0
3288,2.0
3324,1.0
3433,1.0
3839,9.0
3874,3.0
3887,6.0
4001,2.0
4029,2.0
4042,2.0
4062,2.0
4077,5.0
4096,1.0
4105,5.0
4129,2.0
4140,1.0
4163,5.0
4221,5.0
4269,2.0
4283,5.0
4284,5.0
4285,5.0
4286,5.0
4287,5.0
4288,5.0
4289,5.0
4290,5.0
4292,5.0
4295,5.0
4298,5.0
4301,5.0
4315,5.0
4327,5.0
4373,5.0
4397,5.0
4402,5.0
4411,5.0
4421,4.0
4433,4.0
4434,2.0
4441,2.0
4451,4.0
4521,5.0
4601,2.0
4603,2.0
4683,1.0
4686,1.0
4700,1.0
4726,3.0
4761,3.0
4779,1.0
4789,2.0
4797,4.0
4799,2.0
4822,6.0
4844,1.0
4845,1.0
4919,1.0
4940,2.0
4965,3.0
5048,2.0
5093,2.0
5109,2.0
5135,5.0
5143,5.0
5171,2.0
5182,3.0
5235,1.0
5360,3.0
5365,9.0
5468,2.0
5478,1.0
5494,3.0
5519,3.0
5550,2.0
5580,1.0
5644,1.0
5652,1.0
5700,3.0
5742,3.0
5787,3.0
5830,2.0
5858,3.0
5865,2.0
5931,2.0
