,score
62,-3.0
517,-2.0
1479,-3.0
1508,-3.0
1513,-1.0
1596,-1.0
1610,-2.0
1815,-2.0
1962,-3.0
2178,-1.0
2247,-4.0
2326,-4.0
2355,-4.0
2424,-1.0
2460,-1.0
2492,-1.0
2624,-2.0
2870,-1.0
3882,-4.0
4079,-1.0
4747,-4.0
5063,-1.0
5731,-2.0
5773,-2.0
6152,-1.0
6671,-5.0
7202,-1.0
7532,-1.0
7789,-2.0
8316,-2.0
8420,-3.0
8494,-1.0
9547,-2.0
10067,-2.0
10142,-2.0
10158,-2.0
10195,-3.0
10198,-4.0
10217,-3.0
10390,-5.0
10393,-5.0
10421,-5.0
10435,-7.0
10461,-1.0
10495,-5.0
10500,-5.0
10523,-5.0
10561,-5.0
10581,-2.0
10763,-1.0
11043,-1.0
11150,-2.0
11191,-1.0
11618,-1.0
11811,-1.0
11890,-1.0
11940,-2.0
12038,-1.0
12236,-1.0
12238,-2.0
12242,-4.0
12245,-1.0
12253,-3.0
12287,-2.0
12326,-2.0
12335,-2.0
12354,-3.0
12371,-2.0
12383,-2.0
12396,-4.0
12398,-5.0
12439,-2.0
12449,-2.0
12534,-1.0
12548,-1.0
12587,-1.0
12611,-2.0
12619,-4.0
12633,-5.0
12648,-2.0
12650,-1.0
12658,-3.0
12742,-2.0
12751,-1.0
12902,-1.0
13151,-2.0
13217,-1.0
13223,-1.0
13244,-2.0
13292,-3.0
13317,-1.0
13337,-4.0
13362,-1.0
13385,-2.0
13446,-1.0
13463,-2.0
13503,-2.0
13561,-2.0
13660,-1.0
13720,-2.0
13786,-6.0
13843,-1.0
13849,-1.0
13874,-1.0
13891,-5.0
13918,-1.0
14004,-1.0
14124,-2.0
14262,-4.0
14460,-1.0
14462,-1.0
14515,-2.0
14533,-4.0
14776,-2.0
14803,-2.0
14985,-4.0
14996,-1.0
15194,-2.0
15200,-1.0
15246,-1.0
15389,-4.0
15414,-2.0
15419,-1.0
15491,-1.0
15565,-3.0
15616,-2.0
15635,-4.0
15677,-1.0
15714,-3.0
15757,-1.0
15766,-1.0
15824,-6.0
16121,-3.0
16138,-2.0
16162,-2.0
16184,-1.0
16194,-2.0
16372,-3.0
16461,-1.0
16514,-2.0
16653,-3.0
16734,-1.0
17971,-1.0
18676,-1.0
18678,-1.0
18687,-1.0
18695,-1.0
18705,-1.0
18734,-1.0
18865,-1.0
18986,-2.0
19076,-3.0
19077,-1.0
19097,-2.0
19131,-3.0
19194,-1.0
19210,-1.0
19220,-1.0
19229,-3.0
19238,-3.0
19261,-2.0
19306,-2.0
19327,-10.0
19417,-2.0
19424,-1.0
19433,-2.0
19438,-1.0
19485,-1.0
19549,-2.0
19569,-3.0
19653,-2.0
19723,-4.0
19840,-6.0
19943,-2.0
20023,-3.0
20100,-2.0
20109,-2.0
20154,-3.0
20301,-10.0
20368,-1.0
20549,-2.0
20628,-1.0
20644,-2.0
20772,-4.0
20986,-2.0
21405,-4.0
21507,-3.0
21906,-2.0
22077,-1.0
22082,-2.0
22127,-4.0
22148,-1.0
22187,-2.0
22270,-1.0
22391,-2.0
22410,-4.0
22479,-5.0
22499,-3.0
22590,-4.0
23182,-1.0
23404,-1.0
23437,-1.0
23511,-4.0
23517,-4.0
23699,-4.0
23838,-4.0
23986,-4.0
24043,-2.0
24331,-1.0
24367,-4.0
24384,-2.0
24517,-3.0
24594,-4.0
24644,-3.0
24653,-1.0
24658,-1.0
24684,-2.0
24736,-1.0
24754,-1.0
25084,-1.0
25193,-1.0
25213,-1.0
25236,-3.0
25303,-4.0
25306,-4.0
25321,-4.0
25380,-2.0
25537,-2.0
25560,-2.0
25714,-3.0
25837,-6.0
25947,-2.0
25963,-4.0
25985,-6.0
25995,-1.0
26098,-4.0
26131,-4.0
26136,-4.0
26145,-1.0
26242,-2.0
26248,-2.0
26256,-2.0
26292,-2.0
26309,-2.0
26359,-2.0
26366,-2.0
26657,-1.0
26763,-4.0
26809,-2.0
26953,-1.0
27195,-1.0
27214,-2.0
27224,-2.0
27303,-3.0
27739,-1.0
27741,-2.0
27781,-1.0
27822,-2.0
28053,-4.0
28056,-4.0
28159,-4.0
28185,-2.0
28203,-1.0
28276,-1.0
28329,-2.0
28333,-2.0
28348,-1.0
28390,-4.0
28471,-3.0
28539,-2.0
28610,-2.0
28656,-4.0
29367,-3.0
29673,-2.0
29806,-2.0
29868,-1.0
29942,-2.0
30199,-3.0
30543,-1.0
30607,-3.0
30629,-2.0
30784,-2.0
30808,-1.0
30850,-1.0
31004,-2.0
31014,-1.0
31017,-2.0
31115,-6.0
31150,-1.0
31293,-2.0
31332,-1.0
31757,-4.0
31815,-1.0
31843,-2.0
31859,-1.0
31861,-1.0
31877,-2.0
31881,-2.0
32000,-2.0
32194,-1.0
32303,-2.0
33162,-6.0
33249,-1.0
33257,-1.0
33278,-1.0
33279,-1.0
33288,-2.0
33375,-4.0
33404,-1.0
33436,-3.0
33598,-2.0
33862,-2.0
34307,-2.0
34418,-1.0
34608,-2.0
35113,-1.0
35118,-1.0
35159,-2.0
35178,-1.0
35373,-1.0
35378,-1.0
35417,-1.0
35469,-2.0
35569,-1.0
35574,-1.0
35651,-2.0
35676,-5.0
35686,-1.0
35712,-1.0
35728,-2.0
35739,-1.0
35952,-2.0
36014,-1.0
36274,-2.0
36693,-3.0
36840,-2.0
36850,-2.0
37856,-4.0
38208,-2.0
38216,-2.0
38228,-3.0
38285,-3.0
38312,-2.0
38340,-1.0
38796,-2.0
38832,-1.0
38863,-2.0
38871,-2.0
39009,-2.0
39012,-1.0
39084,-2.0
39264,-1.0
39798,-8.0
39865,-2.0
39909,-2.0
40140,-2.0
40141,-1.0
40341,-2.0
40630,-1.0
40678,-1.0
40681,-1.0
40911,-1.0
41147,-4.0
41320,-1.0
41325,-1.0
41350,-4.0
41370,-2.0
41403,-2.0
41421,-2.0
41577,-2.0
41723,-2.0
41760,-3.0
41899,-2.0
41936,-1.0
42278,-1.0
42306,-2.0
42463,-1.0
42481,-1.0
42575,-1.0
42579,-1.0
42950,-2.0
42977,-3.0
43051,-2.0
43068,-2.0
43088,-4.0
43227,-2.0
43246,-2.0
43382,-2.0
43392,-4.0
43418,-1.0
43460,-1.0
43468,-3.0
43538,-1.0
43540,-1.0
43606,-1.0
43638,-4.0
43665,-4.0
43804,-1.0
