,score
59,3.0
72,1.0
108,1.0
168,3.0
221,4.0
226,2.0
242,4.0
250,4.0
277,6.0
319,1.0
325,4.0
388,2.0
389,5.0
398,4.0
441,1.0
448,3.0
477,2.0
571,6.0
593,4.0
651,2.0
652,2.0
667,2.0
677,4.0
684,2.0
706,2.0
729,3.0
735,2.0
739,2.0
744,2.0
766,2.0
867,2.0
890,2.0
900,1.0
923,2.0
936,6.0
940,1.0
1054,2.0
1094,1.0
1289,2.0
1303,4.0
1404,8.0
1506,2.0
1562,2.0
1602,1.0
1636,1.0
1733,1.0
1806,2.0
1837,2.0
1843,3.0
1970,2.0
1981,1.0
2007,4.0
2020,2.0
2039,1.0
2069,1.0
2093,3.0
2096,1.0
2103,4.0
2126,1.0
2138,1.0
2155,1.0
2164,1.0
2168,2.0
2171,1.0
2180,2.0
2185,1.0
2187,4.0
2208,1.0
2223,1.0
2226,1.0
2259,1.0
2278,1.0
2289,1.0
2298,1.0
2308,1.0
2319,1.0
2334,1.0
2341,1.0
2352,1.0
2375,1.0
2408,1.0
2412,1.0
2418,1.0
2426,2.0
2434,1.0
2437,4.0
2443,1.0
2454,1.0
2468,1.0
2478,1.0
2482,1.0
2490,1.0
2494,1.0
2499,1.0
2503,1.0
2506,1.0
2511,1.0
2518,1.0
2523,1.0
2528,1.0
2531,1.0
2540,1.0
2542,1.0
2545,1.0
2547,1.0
2550,1.0
2553,1.0
2557,1.0
2562,1.0
2565,1.0
2572,1.0
2582,1.0
2588,1.0
2592,1.0
2595,1.0
2604,1.0
2608,1.0
2614,1.0
2620,1.0
2631,1.0
2640,1.0
2644,1.0
2653,1.0
2655,2.0
2659,1.0
2661,1.0
2665,1.0
2668,4.0
2671,1.0
2675,1.0
2684,1.0
2686,4.0
2699,1.0
2714,1.0
2723,1.0
2735,2.0
2740,1.0
2757,1.0
2769,1.0
2770,4.0
2780,1.0
2812,1.0
2828,1.0
2847,1.0
2849,2.0
2860,4.0
2863,1.0
2867,4.0
2877,1.0
2879,2.0
2880,2.0
2891,1.0
2910,1.0
2919,1.0
2929,1.0
2931,1.0
2942,4.0
2945,1.0
2951,4.0
2954,4.0
2958,1.0
2974,1.0
2983,1.0
2987,1.0
2991,4.0
2993,1.0
3001,1.0
3004,1.0
3015,1.0
3023,1.0
3029,1.0
3039,4.0
3042,1.0
3047,1.0
3063,1.0
3069,1.0
3070,2.0
3076,1.0
3083,1.0
3085,4.0
3097,1.0
3101,1.0
3103,6.0
3105,1.0
3123,1.0
3125,3.0
3130,1.0
3139,1.0
3154,1.0
3163,1.0
3179,1.0
3192,1.0
3195,4.0
3202,1.0
3214,1.0
3217,1.0
3220,1.0
3223,1.0
3227,1.0
3229,4.0
3238,1.0
3244,1.0
3254,1.0
3259,1.0
3263,1.0
3271,4.0
3274,1.0
3278,1.0
3287,1.0
3291,1.0
3304,1.0
3306,3.0
3309,4.0
3313,1.0
3322,1.0
3333,1.0
3340,1.0
3346,1.0
3352,2.0
3354,4.0
3357,1.0
3361,1.0
3366,1.0
3370,1.0
3379,1.0
3381,4.0
3392,1.0
3399,1.0
3408,1.0
3415,1.0
3418,1.0
3420,4.0
3423,1.0
3429,1.0
3437,1.0
3450,1.0
3455,1.0
3458,1.0
3460,4.0
3475,1.0
3482,1.0
3489,1.0
3493,1.0
3499,1.0
3508,4.0
3511,1.0
3514,1.0
3519,1.0
3527,1.0
3536,1.0
3538,4.0
3547,1.0
3550,4.0
3554,1.0
3567,1.0
3571,1.0
3579,1.0
3586,1.0
3593,4.0
3596,1.0
3610,1.0
3620,1.0
3631,1.0
3661,1.0
3663,4.0
3681,1.0
3696,1.0
3725,1.0
3788,1.0
3803,3.0
3807,1.0
3816,2.0
3818,1.0
3824,1.0
3832,1.0
3847,4.0
3850,1.0
3859,1.0
3864,1.0
3872,1.0
3880,1.0
3894,1.0
3896,4.0
3906,2.0
3909,2.0
3913,1.0
3916,2.0
3929,2.0
3932,1.0
3945,1.0
3955,2.0
3960,1.0
3970,1.0
3971,4.0
3986,1.0
4008,1.0
4033,1.0
4045,1.0
4049,4.0
4055,1.0
4063,6.0
4065,1.0
4066,2.0
4074,1.0
4083,1.0
4092,1.0
4113,1.0
4120,2.0
4122,1.0
4131,2.0
4134,1.0
4138,1.0
4150,2.0
4155,2.0
4159,1.0
4175,1.0
4178,4.0
4207,1.0
4224,1.0
4242,1.0
4249,1.0
4272,1.0
4278,2.0
4280,4.0
4282,1.0
4291,2.0
4294,1.0
4304,1.0
4358,1.0
4366,5.0
4372,1.0
4380,1.0
4384,1.0
4392,1.0
4407,1.0
4408,4.0
4413,1.0
4427,1.0
4448,1.0
4453,5.0
4459,1.0
4469,1.0
4470,1.0
4481,1.0
4483,4.0
4488,1.0
4497,1.0
4505,1.0
4509,1.0
4512,5.0
4515,5.0
4520,1.0
4523,4.0
4530,1.0
4539,1.0
4547,1.0
4562,1.0
4563,5.0
4567,1.0
4576,4.0
4579,1.0
4586,1.0
4602,1.0
4604,1.0
4610,1.0
4613,5.0
4618,1.0
4620,4.0
4632,5.0
4635,1.0
4640,1.0
4654,1.0
4657,2.0
4660,1.0
4663,1.0
4682,1.0
4690,1.0
4692,4.0
4706,1.0
4717,1.0
4720,1.0
4741,1.0
4758,1.0
4776,1.0
4781,4.0
4783,4.0
4786,1.0
4811,1.0
4821,6.0
4824,3.0
4831,1.0
4876,1.0
4898,4.0
4907,4.0
4918,1.0
4922,4.0
4942,4.0
4949,1.0
4973,1.0
5021,1.0
5023,4.0
5057,3.0
5067,1.0
5077,2.0
5100,2.0
5128,2.0
5149,1.0
5165,2.0
5207,1.0
5209,4.0
5260,1.0
5370,1.0
5410,4.0
5415,1.0
5477,1.0
5483,2.0
5530,1.0
5578,2.0
5600,1.0
5617,3.0
5642,1.0
5668,3.0
5679,2.0
5682,1.0
5687,1.0
5693,2.0
5741,3.0
5745,1.0
5748,4.0
5779,1.0
5784,1.0
5836,1.0
5870,1.0
5872,4.0
5907,1.0
5922,2.0
5986,4.0
6020,1.0
6039,3.0
6062,1.0
6120,1.0
6127,4.0
6178,1.0
6204,1.0
6220,1.0
6254,1.0
6277,1.0
6279,4.0
6294,1.0
6305,6.0
6312,2.0
6317,1.0
6345,1.0
6352,1.0
6367,4.0
6370,1.0
6393,1.0
6398,1.0
6417,1.0
6427,3.0
6428,3.0
6445,1.0
6456,4.0
6475,1.0
6495,1.0
6496,2.0
6507,1.0
6509,4.0
6512,1.0
6529,1.0
6531,4.0
6564,1.0
6571,2.0
6578,2.0
6586,1.0
6600,1.0
6602,3.0
6663,1.0
6686,1.0
6688,4.0
6694,1.0
6702,4.0
6703,1.0
6715,1.0
6727,1.0
6729,4.0
6757,1.0
6759,4.0
6762,1.0
6774,1.0
6783,1.0
6786,4.0
6798,1.0
6805,1.0
6807,4.0
6810,1.0
6813,4.0
6815,1.0
6831,1.0
6849,1.0
6852,2.0
6881,1.0
6885,1.0
6888,1.0
6891,4.0
6899,4.0
6902,1.0
6912,1.0
6919,1.0
6921,2.0
6928,1.0
6933,4.0
6936,1.0
6939,4.0
6941,1.0
6942,2.0
6945,1.0
6952,1.0
6958,4.0
6960,1.0
6964,1.0
6969,4.0
6971,1.0
6976,1.0
6982,1.0
6987,1.0
6990,1.0
6992,4.0
6999,4.0
7002,1.0
7011,1.0
7017,1.0
7025,4.0
7028,1.0
7030,1.0
7036,1.0
7038,4.0
7047,1.0
7059,1.0
7064,1.0
7070,1.0
7073,4.0
7079,1.0
7081,4.0
7087,2.0
7094,1.0
7101,1.0
7118,1.0
7120,4.0
7123,1.0
7143,1.0
7145,4.0
7147,1.0
7158,1.0
7160,4.0
7163,2.0
7172,1.0
7180,4.0
7192,1.0
7197,4.0
7200,1.0
7226,4.0
7229,1.0
7252,1.0
7287,4.0
7290,1.0
7305,1.0
7326,1.0
7332,4.0
7336,1.0
7351,1.0
7383,1.0
7387,4.0
7416,3.0
7450,1.0
7516,5.0
7520,1.0
7526,1.0
7528,4.0
7531,4.0
7612,2.0
7628,1.0
7680,1.0
7688,4.0
7701,3.0
7717,6.0
7741,1.0
7747,4.0
7750,1.0
7780,4.0
7786,1.0
7790,7.0
7791,2.0
7806,2.0
7840,1.0
7862,2.0
7873,1.0
7876,4.0
7889,8.0
7903,1.0
7918,1.0
7920,4.0
7923,1.0
7982,1.0
7984,2.0
8030,1.0
8084,4.0
8094,1.0
8099,1.0
8130,1.0
8132,2.0
8136,1.0
8139,4.0
8169,4.0
8228,1.0
8283,1.0
8288,4.0
8292,1.0
8310,1.0
8321,1.0
8350,1.0
8458,1.0
8461,1.0
8463,4.0
8469,1.0
8529,1.0
8559,1.0
8583,1.0
8630,4.0
8632,1.0
8634,1.0
8646,1.0
8683,4.0
8686,1.0
8693,2.0
8697,1.0
8700,1.0
8749,1.0
8770,1.0
8776,2.0
8780,2.0
8790,1.0
8792,4.0
8795,1.0
8798,1.0
8813,2.0
8830,4.0
8846,1.0
8871,1.0
8874,1.0
8876,4.0
8879,1.0
8902,1.0
8918,1.0
8931,1.0
8954,1.0
8956,3.0
8959,1.0
8985,4.0
8987,1.0
8993,1.0
9008,1.0
9011,1.0
9013,4.0
9018,1.0
9079,1.0
9082,1.0
9084,1.0
9097,1.0
9102,4.0
9108,1.0
9121,1.0
9124,1.0
9126,4.0
9129,1.0
9135,1.0
9153,1.0
9158,1.0
9160,4.0
9162,2.0
9167,1.0
9175,1.0
9177,1.0
9179,1.0
9192,1.0
9194,4.0
9207,1.0
9220,1.0
9228,1.0
9230,4.0
9232,1.0
9234,1.0
9249,1.0
9252,2.0
9256,1.0
9258,4.0
9265,1.0
9279,1.0
9281,1.0
9283,1.0
9298,1.0
9300,4.0
9318,1.0
9326,1.0
9340,1.0
9343,1.0
9346,4.0
9349,1.0
9358,1.0
9371,1.0
9379,1.0
9389,1.0
9393,1.0
9394,1.0
9395,1.0
9396,4.0
9405,1.0
9416,1.0
9430,1.0
9447,1.0
9470,1.0
9480,1.0
9497,1.0
9518,1.0
9520,4.0
9523,1.0
9526,1.0
9538,1.0
9551,1.0
9560,1.0
9567,2.0
9585,1.0
9648,1.0
9674,1.0
9676,4.0
9679,1.0
9682,1.0
9724,1.0
9743,4.0
9746,1.0
9786,1.0
9820,4.0
9839,3.0
9857,1.0
9863,1.0
9867,1.0
9870,4.0
9874,1.0
9877,1.0
9905,1.0
9946,1.0
9966,2.0
10009,4.0
10012,1.0
10014,1.0
10018,1.0
10082,4.0
10086,1.0
10096,2.0
10114,3.0
10118,5.0
10138,4.0
10141,1.0
10153,1.0
10182,1.0
10223,2.0
10231,2.0
10247,1.0
10249,4.0
10253,1.0
10325,4.0
10331,1.0
10361,1.0
10395,3.0
10408,1.0
10411,4.0
10414,1.0
10419,1.0
10427,3.0
10428,3.0
10442,1.0
10458,1.0
10490,1.0
10503,8.0
10537,4.0
10540,1.0
10543,1.0
10545,1.0
10569,2.0
10590,1.0
10592,4.0
10639,1.0
10679,1.0
10684,1.0
10689,4.0
10692,1.0
10722,1.0
10727,3.0
10744,2.0
10751,1.0
10762,1.0
10768,1.0
10781,1.0
10796,4.0
10798,1.0
10800,1.0
10807,1.0
10808,2.0
10814,4.0
10828,1.0
10830,1.0
10834,4.0
10838,1.0
10868,1.0
10894,1.0
10917,2.0
10930,1.0
10933,1.0
10935,4.0
10938,1.0
10952,2.0
10965,1.0
10999,4.0
11005,1.0
11026,1.0
11033,1.0
11041,1.0
11044,1.0
11049,1.0
11052,1.0
11053,1.0
11098,1.0
11101,1.0
11103,4.0
11108,1.0
11115,1.0
11125,1.0
11126,2.0
11146,2.0
11160,1.0
11163,1.0
11181,1.0
11183,4.0
11203,1.0
11218,1.0
11223,4.0
11233,1.0
11254,1.0
11257,1.0
11263,1.0
11268,1.0
11270,4.0
11282,1.0
11284,6.0
11295,1.0
11300,4.0
11303,1.0
11306,1.0
11320,1.0
11371,1.0
11405,1.0
11408,1.0
11411,1.0
11412,4.0
11415,1.0
11417,1.0
11420,4.0
11445,1.0
11449,1.0
11452,4.0
11455,1.0
11504,1.0
11506,1.0
11513,1.0
11517,1.0
11521,1.0
11523,4.0
11534,1.0
11537,3.0
11543,1.0
11548,4.0
11551,1.0
11570,1.0
11574,3.0
11582,1.0
11593,1.0
11595,1.0
11597,4.0
11599,1.0
11606,1.0
11612,1.0
11625,2.0
11628,1.0
11640,1.0
11641,4.0
11644,1.0
11649,2.0
11654,1.0
11656,1.0
11657,4.0
11660,1.0
11667,2.0
11674,1.0
11684,1.0
11687,1.0
11689,4.0
11692,1.0
11700,1.0
11704,1.0
11707,4.0
11713,1.0
11721,1.0
11729,4.0
11732,1.0
11735,1.0
11738,1.0
11740,2.0
11744,1.0
11752,1.0
11756,4.0
11766,1.0
11780,1.0
11784,1.0
11787,1.0
11789,4.0
11809,1.0
11837,1.0
11839,1.0
11841,1.0
11845,3.0
11855,4.0
11866,1.0
11868,4.0
11874,4.0
11882,1.0
11884,3.0
11904,1.0
11916,1.0
11919,4.0
11932,1.0
11951,1.0
11958,3.0
11961,1.0
11987,4.0
11990,1.0
11993,1.0
11996,1.0
12022,4.0
12024,1.0
12055,1.0
12056,4.0
12067,6.0
12083,1.0
12086,5.0
12090,4.0
12099,1.0
12106,5.0
12118,5.0
12121,1.0
12126,5.0
12130,5.0
12163,2.0
12166,1.0
12170,1.0
12173,1.0
