,score
271,-4.0
335,-2.0
507,-4.0
511,-2.0
519,-2.0
528,-2.0
583,-1.0
716,-2.0
827,-2.0
830,-1.0
831,-1.0
884,-1.0
931,-2.0
1014,-1.0
1624,-4.0
1674,-1.0
1690,-1.0
1724,-2.0
1804,-1.0
1826,-3.0
1935,-2.0
2041,-4.0
2053,-3.0
2166,-2.0
2174,-2.0
2204,-2.0
2224,-1.0
2248,-4.0
2264,-1.0
2327,-4.0
2356,-4.0
2376,-2.0
2425,-1.0
2559,-5.0
2736,-5.0
2776,-2.0
2916,-1.0
2948,-2.0
3208,-1.0
3611,-1.0
3860,-4.0
3883,-4.0
4139,-5.0
4183,-1.0
4203,-1.0
4209,-1.0
4212,-1.0
4215,-1.0
4245,-1.0
4314,-2.0
4416,-4.0
4418,-4.0
4507,-2.0
4897,-4.0
5098,-1.0
5222,-2.0
5705,-4.0
5732,-2.0
5734,-2.0
5941,-2.0
5968,-4.0
6047,-2.0
6153,-1.0
6453,-3.0
6462,-3.0
6667,-2.0
7232,-1.0
7635,-1.0
7776,-1.0
8754,-2.0
8811,-4.0
9069,-2.0
9759,-2.0
10462,-1.0
10571,-1.0
10650,-4.0
10724,-2.0
11012,-2.0
11093,-4.0
11341,-2.0
12231,-4.0
12786,-6.0
12973,-4.0
13032,-1.0
13667,-3.0
13673,-2.0
13702,-1.0
14282,-3.0
14326,-3.0
14350,-2.0
14649,-2.0
15063,-1.0
15299,-1.0
15705,-6.0
15828,-1.0
16010,-2.0
16163,-2.0
16313,-2.0
16373,-3.0
16429,-4.0
16885,-4.0
16887,-4.0
17307,-6.0
17405,-5.0
17447,-2.0
17521,-1.0
17579,-1.0
17974,-2.0
18076,-1.0
18218,-1.0
18434,-4.0
18609,-1.0
18652,-1.0
18655,-1.0
19230,-3.0
19328,-10.0
19410,-3.0
19439,-1.0
19511,-10.0
19707,-2.0
19989,-3.0
20043,-2.0
20045,-2.0
20338,-1.0
21299,-1.0
21560,-1.0
21697,-1.0
21917,-1.0
22049,-2.0
22208,-2.0
22290,-1.0
22293,-1.0
22638,-1.0
22699,-2.0
22838,-4.0
22864,-1.0
22878,-2.0
23142,-1.0
23143,-1.0
23438,-1.0
23587,-1.0
23746,-1.0
23982,-1.0
24164,-2.0
24276,-5.0
24569,-4.0
24761,-6.0
25170,-2.0
25389,-1.0
25429,-1.0
25433,-1.0
25663,-4.0
25910,-4.0
25970,-2.0
26066,-1.0
26293,-2.0
26383,-2.0
26484,-2.0
26488,-4.0
26580,-2.0
26621,-1.0
26624,-1.0
27697,-2.0
27717,-1.0
27782,-1.0
28105,-4.0
28160,-4.0
28162,-4.0
28658,-1.0
28730,-1.0
28739,-4.0
28755,-5.0
28887,-6.0
29015,-1.0
29016,-1.0
29182,-6.0
29234,-1.0
29392,-2.0
29417,-6.0
29737,-1.0
29752,-2.0
30038,-3.0
30044,-1.0
30300,-2.0
30385,-4.0
30852,-1.0
30865,-4.0
30883,-1.0
30895,-3.0
31016,-1.0
31077,-4.0
31152,-1.0
31334,-1.0
31451,-4.0
31576,-1.0
31654,-1.0
31758,-4.0
31811,-2.0
31817,-1.0
31940,-3.0
31979,-2.0
31981,-2.0
32168,-1.0
32605,-1.0
32640,-2.0
33099,-2.0
33244,-2.0
33263,-1.0
33354,-1.0
33406,-1.0
33445,-3.0
33575,-1.0
33582,-2.0
33761,-1.0
33869,-6.0
33888,-1.0
34257,-2.0
35245,-1.0
35478,-2.0
36112,-3.0
36117,-6.0
36174,-1.0
36425,-1.0
36479,-2.0
37348,-2.0
37501,-2.0
37814,-2.0
37861,-1.0
37862,-1.0
37863,-1.0
37864,-1.0
37891,-1.0
37963,-2.0
37966,-1.0
37976,-2.0
37989,-1.0
37998,-1.0
38047,-1.0
38062,-2.0
38081,-2.0
38116,-2.0
38250,-1.0
38485,-2.0
38550,-1.0
38590,-1.0
38623,-1.0
38984,-1.0
39062,-4.0
39093,-4.0
39279,-1.0
39438,-4.0
39439,-8.0
39468,-2.0
39516,-1.0
39652,-2.0
40054,-1.0
40232,-3.0
40405,-3.0
40470,-2.0
40624,-2.0
40805,-1.0
41049,-1.0
41088,-1.0
41326,-1.0
41347,-7.0
41348,-7.0
41921,-1.0
41937,-1.0
41954,-3.0
42085,-1.0
42130,-4.0
42438,-4.0
42603,-1.0
42622,-3.0
42795,-1.0
42837,-2.0
42840,-3.0
42856,-1.0
42919,-1.0
43054,-3.0
43542,-1.0
44097,-2.0
44445,-1.0
44503,-3.0
44854,-1.0
44911,-1.0
44954,-2.0
45164,-7.0
45276,-1.0
45485,-3.0
45812,-1.0
46460,-3.0
46628,-2.0
46704,-1.0
46708,-1.0
47047,-1.0
47059,-5.0
47216,-2.0
47226,-2.0
47260,-2.0
47273,-2.0
47458,-4.0
47688,-1.0
47702,-1.0
47854,-4.0
47905,-2.0
48072,-3.0
48173,-2.0
48198,-1.0
48291,-1.0
48418,-2.0
48541,-1.0
48697,-2.0
48798,-2.0
48801,-1.0
48985,-2.0
49005,-2.0
49028,-2.0
49038,-1.0
49043,-1.0
49050,-1.0
49055,-1.0
49057,-2.0
49080,-1.0
49083,-1.0
49094,-3.0
49101,-2.0
49137,-10.0
49157,-2.0
49169,-1.0
49182,-3.0
49190,-2.0
49202,-3.0
