,score
19,2.0
43,2.0
46,1.0
82,3.0
110,1.0
152,2.0
158,2.0
256,2.0
283,1.0
321,1.0
336,4.0
344,3.0
349,2.0
393,2.0
407,1.0
425,1.0
453,1.0
468,2.0
494,2.0
497,2.0
503,1.0
580,1.0
605,1.0
672,1.0
770,1.0
785,1.0
801,4.0
858,2.0
874,2.0
882,2.0
893,1.0
933,2.0
1082,1.0
1084,3.0
1242,1.0
1274,2.0
1575,2.0
1679,3.0
1809,2.0
1840,2.0
1844,3.0
1884,1.0
1968,1.0
2009,4.0
2013,1.0
2022,2.0
2024,2.0
2063,1.0
2074,2.0
2091,1.0
2128,1.0
2139,1.0
2144,2.0
2145,2.0
2159,2.0
2163,1.0
2177,1.0
2192,3.0
2194,1.0
2195,1.0
2210,1.0
2211,1.0
2212,1.0
2227,1.0
2228,1.0
2229,1.0
2230,1.0
2251,1.0
2284,2.0
2339,2.0
2345,2.0
2367,1.0
2404,1.0
2428,2.0
2448,1.0
2458,2.0
2496,2.0
2578,2.0
2596,2.0
2599,2.0
2743,5.0
2746,3.0
2752,6.0
2764,14.0
2789,2.0
2808,8.0
2816,1.0
2836,2.0
2851,2.0
2893,3.0
3071,2.0
3128,2.0
3160,1.0
3164,2.0
3173,2.0
3189,3.0
3327,3.0
3336,3.0
3394,1.0
3650,1.0
3714,2.0
3767,3.0
3774,2.0
3775,2.0
4052,2.0
4061,2.0
4086,12.0
4097,1.0
4227,2.0
4258,2.0
4268,2.0
4432,3.0
4501,2.0
4550,4.0
4551,2.0
4552,2.0
4553,2.0
4554,2.0
4555,2.0
4556,2.0
4557,2.0
4558,2.0
4564,3.0
4596,2.0
4621,2.0
4659,2.0
4957,3.0
4967,7.0
5058,1.0
5233,2.0
5236,1.0
5308,1.0
5336,7.0
5338,7.0
5398,2.0
5400,3.0
5504,3.0
5548,2.0
5736,4.0
5813,4.0
5867,6.0
5917,4.0
6021,2.0
6114,2.0
6249,1.0
6328,6.0
6459,4.0
6489,6.0
6521,2.0
6579,2.0
6597,1.0
6616,2.0
6765,1.0
6823,2.0
6836,2.0
6924,3.0
6925,4.0
7308,4.0
7356,4.0
7486,1.0
7566,2.0
7567,2.0
7672,3.0
7675,2.0
7715,8.0
7720,6.0
7725,5.0
7764,2.0
7768,2.0
7807,2.0
7890,4.0
7891,2.0
7976,1.0
8016,1.0
8051,1.0
8117,1.0
8163,2.0
8225,1.0
8258,1.0
8286,1.0
8809,1.0
8814,2.0
8892,2.0
8928,1.0
8984,2.0
8990,1.0
9027,3.0
9070,2.0
9111,6.0
9113,3.0
9223,2.0
9262,2.0
9269,2.0
9337,4.0
9622,2.0
9799,2.0
9803,1.0
9804,1.0
9808,1.0
9809,1.0
9889,3.0
9992,3.0
10048,2.0
10093,2.0
10108,1.0
10468,1.0
10532,3.0
10629,2.0
10644,1.0
10667,2.0
10670,2.0
10705,2.0
10815,4.0
10849,2.0
10953,2.0
11172,1.0
11187,2.0
11243,8.0
11265,4.0
11314,4.0
11316,4.0
11330,2.0
11360,2.0
11394,2.0
11409,2.0
11446,6.0
11492,4.0
11636,2.0
11675,2.0
11772,2.0
11781,2.0
11817,2.0
12014,2.0
12036,4.0
12119,1.0
12264,1.0
12288,2.0
12373,3.0
12408,2.0
12409,2.0
12414,2.0
12433,2.0
12561,5.0
12569,2.0
12653,3.0
12665,4.0
12684,5.0
12711,6.0
12717,1.0
12858,2.0
12874,2.0
12920,2.0
12976,2.0
13006,2.0
