,score
47,-1.0
54,-1.0
122,-3.0
172,-5.0
176,-2.0
228,-2.0
229,-2.0
230,-2.0
231,-2.0
232,-2.0
233,-2.0
345,-2.0
455,-2.0
479,-1.0
491,-3.0
492,-2.0
531,-2.0
535,-2.0
536,-3.0
547,-2.0
555,-1.0
607,-3.0
650,-5.0
775,-6.0
795,-2.0
953,-2.0
968,-8.0
970,-2.0
1053,-2.0
1114,-4.0
1124,-5.0
1143,-2.0
1155,-2.0
1238,-6.0
1316,-2.0
1342,-1.0
1412,-1.0
1450,-1.0
1477,-3.0
1491,-2.0
1771,-2.0
1860,-2.0
1864,-1.0
1899,-3.0
1904,-1.0
1914,-1.0
1939,-1.0
2016,-1.0
2260,-3.0
2263,-3.0
2338,-3.0
2462,-1.0
2558,-2.0
2569,-1.0
2646,-2.0
2667,-2.0
2994,-4.0
3024,-1.0
3057,-2.0
3165,-2.0
3209,-2.0
3374,-1.0
3447,-1.0
3517,-1.0
3532,-2.0
3626,-1.0
3781,-2.0
3812,-2.0
3867,-2.0
3957,-7.0
3963,-2.0
4041,-1.0
4104,-1.0
4559,-1.0
4677,-2.0
4725,-2.0
4798,-1.0
4886,-1.0
4986,-1.0
5125,-2.0
5202,-2.0
5240,-6.0
5309,-2.0
5313,-2.0
5571,-3.0
5674,-3.0
5718,-1.0
5753,-2.0
5814,-3.0
5825,-1.0
5909,-1.0
5976,-3.0
6139,-1.0
6147,-1.0
6183,-1.0
6263,-11.0
6442,-2.0
6560,-1.0
6980,-2.0
7018,-3.0
7075,-1.0
7272,-1.0
7553,-3.0
7617,-1.0
7845,-2.0
7970,-3.0
7971,-2.0
7989,-2.0
8056,-3.0
8161,-1.0
8346,-2.0
8380,-2.0
8382,-4.0
8545,-2.0
8579,-1.0
8625,-2.0
8880,-1.0
8893,-2.0
8910,-6.0
8922,-2.0
8923,-2.0
8981,-1.0
8982,-1.0
9548,-1.0
9715,-1.0
9728,-3.0
9774,-1.0
9800,-1.0
9806,-1.0
9947,-2.0
10127,-2.0
10340,-3.0
10399,-3.0
10697,-2.0
10714,-1.0
10736,-2.0
10810,-2.0
10888,-3.0
10955,-1.0
10985,-2.0
11140,-1.0
11151,-2.0
11239,-1.0
11356,-6.0
11374,-1.0
11428,-1.0
11758,-2.0
11760,-1.0
11854,-1.0
11965,-2.0
12209,-4.0
12356,-3.0
12456,-2.0
12612,-2.0
12677,-4.0
12731,-1.0
13230,-2.0
13475,-1.0
13579,-1.0
13654,-2.0
13691,-1.0
13754,-2.0
13799,-1.0
13816,-2.0
13894,-2.0
13906,-3.0
14003,-3.0
14009,-6.0
14080,-1.0
14138,-2.0
14142,-3.0
14404,-3.0
14577,-1.0
14705,-3.0
14722,-4.0
14835,-2.0
14850,-1.0
14890,-2.0
14912,-2.0
15110,-2.0
15261,-3.0
15338,-3.0
15386,-1.0
15534,-3.0
15549,-4.0
15658,-4.0
15695,-1.0
15768,-1.0
16059,-4.0
16261,-5.0
16530,-2.0
16537,-1.0
16550,-1.0
16642,-3.0
16696,-1.0
16718,-3.0
16719,-3.0
16736,-1.0
16985,-3.0
17142,-5.0
17158,-2.0
17159,-2.0
17201,-2.0
17244,-1.0
17261,-5.0
17267,-6.0
17382,-2.0
17414,-1.0
17454,-3.0
17765,-5.0
17876,-2.0
18090,-4.0
18381,-3.0
18407,-2.0
18714,-3.0
18739,-2.0
18740,-1.0
18742,-1.0
18763,-2.0
18779,-3.0
18828,-2.0
18849,-1.0
18927,-6.0
18936,-2.0
18979,-1.0
18994,-3.0
19037,-2.0
19090,-2.0
19143,-1.0
19171,-2.0
19198,-4.0
19212,-1.0
19223,-1.0
19256,-4.0
19285,-4.0
19286,-6.0
19299,-3.0
19300,-4.0
19322,-2.0
19363,-2.0
19385,-2.0
19416,-2.0
19419,-2.0
19434,-1.0
19447,-2.0
19448,-3.0
19456,-2.0
19470,-2.0
19495,-1.0
19586,-4.0
19626,-2.0
19651,-1.0
19655,-2.0
19750,-1.0
19756,-3.0
19758,-1.0
19788,-1.0
19898,-3.0
19910,-2.0
19911,-2.0
19933,-1.0
20086,-1.0
20093,-1.0
20112,-1.0
20132,-4.0
20150,-3.0
20251,-2.0
20287,-2.0
20288,-2.0
20302,-3.0
20415,-2.0
20623,-1.0
20646,-2.0
20765,-3.0
20920,-1.0
20921,-1.0
20922,-1.0
21026,-3.0
21032,-2.0
21180,-6.0
21197,-1.0
21302,-1.0
21447,-1.0
21509,-3.0
21525,-2.0
21542,-1.0
21550,-1.0
21564,-2.0
21741,-2.0
21907,-2.0
21946,-2.0
22065,-3.0
22079,-1.0
22147,-1.0
22271,-1.0
22436,-2.0
22702,-2.0
22744,-2.0
22791,-1.0
22794,-1.0
22911,-2.0
22914,-3.0
22922,-1.0
22924,-1.0
22938,-2.0
22941,-4.0
22944,-4.0
22955,-2.0
22957,-2.0
22961,-3.0
22972,-1.0
22978,-3.0
22983,-1.0
22986,-1.0
22995,-2.0
23009,-2.0
23018,-9.0
23021,-3.0
23022,-2.0
23035,-1.0
23039,-1.0
23054,-1.0
23055,-2.0
23058,-1.0
23059,-2.0
23062,-2.0
23067,-1.0
23068,-3.0
23070,-3.0
23072,-5.0
23075,-2.0
23082,-4.0
23086,-1.0
